Person,Partei,"Region (BVV, WK2, WK4, WK5)",Fragenummer,"Zustimmungsaussage (ja = zustimmung, nein = nicht Zustimmung, 0 = neutral)",Begründung
Monika Herrmann,Die Grünen / Bündnis 100,BVV,4,nein,"Da es sich um organisierte Kriminalität handelt, sind Streetworker solange nicht zielführend, solange die Polizei nicht erfolgreich handeln konnte."
Monika Herrmann,Die Grünen / Bündnis 101,BVV,5,ja,"Die Mehrkosten in den Touri-Kiezen werden durch TouristInnen verursacht, daher macht es Sinn diese auch durch die City-Tax wieder auszugleichen. Auf keinen Fall dürfen der Bezirkshaushalt - ohne Ausgleich - belastet werden oder gar die AnwohnerInnen durch Erhöhung der Betriebsksoten."
Monika Herrmann,Die Grünen / Bündnis 102,BVV,6,ja,"Hier helfen auf jeden Fall mehr Müllbehältnisse, Flaschensammelbehältnisse und Aufmerksamkeitskampagnen."
Monika Herrmann,Die Grünen / Bündnis 103,BVV,7,ja,Wohnkiez ist das Stichwort - oberste Priorität müssen die AnwohnerInnen und ihre Wohnqualität haben.
Monika Herrmann,Die Grünen / Bündnis 104,BVV,8,ja,"Ein Zimmer in der eigenen Wohnung vermieten ist ok, ganze Wohnungen und Häuser sind nicht akzeptabel, da wir den Wohnraum in Berlin dringend selber benötigen."
Monika Herrmann,Die Grünen / Bündnis 105,BVV,9,ja,"Es kommt darauf an, wieviel Platz auf dem Gehweg verbleibt. Kinderwagen und Rollstühle müssen auf jeden Fall vorbeikommen können…"
Monika Herrmann,Die Grünen / Bündnis 106,BVV,10,ja,"Wenn es Regeln gibt, müssen sie auch kontrolliert werden, dass alle sie einhalten. Besonders die Radwege müssen durch spezielle OA-Radstreifen überwacht werden, was das dortige Parken betrifft."
Monika Herrmann,Die Grünen / Bündnis 107,BVV,11,ja,"Hier sind die BSR und der Bezirk schon auf einem guten Weg, allerdings reicht es noch nicht aus."
Monika Herrmann,Die Grünen / Bündnis 108,BVV,12,nein,"Ich halte das für eine These, die ich nicht teile. Gerade die CK hat großes Interesse daran, dass sich die Konflikte befrieden, weil es um die Existenz ihrer Clubs geht."
Monika Herrmann,Die Grünen / Bündnis 109,BVV,13,ja,"Vielfalt im Gewerbe ist besonders in den Kiezes sinnvoll, zuviel Gastronomie ist nicht nachhaltig für die Unternehmen."
Monika Herrmann,Die Grünen / Bündnis 110,BVV,14,ja,Steht für sich und ich finde das richtig.
Monika Herrmann,Die Grünen / Bündnis 111,BVV,15,ja,Das sehe ich auch so - gerade Nachbarschaftsaktivitäten machen einen Kiez lebenswert - Kommerzialisierung sollte so gering wie möglich gehalten werden.
Monika Herrmann,Die Grünen / Bündnis 112,BVV,16,ja,Es bedarf einer guten und empathischen Beratung von kleinen KiezveranstalterInnen
Monika Herrmann,Die Grünen / Bündnis 113,BVV,17,ja,"Teurer Quatsch, der Verkehrskonzepte des 20. Jahunderts umsetzt - komplett falsch!!"
Monika Herrmann,Die Grünen / Bündnis 114,BVV,18,ja,Parkplätze sind eh gering - Werbung hat da nichts zu suchen.
Monika Herrmann,Die Grünen / Bündnis 115,BVV,19,ja,Das macht der Bezirk bereits seit Jahren.
Monika Herrmann,Die Grünen / Bündnis 116,BVV,20,ja,Wenn sie flexibel und umwelt- und gesundheitsfreundlich sind warum nicht…
Monika Herrmann,Die Grünen / Bündnis 117,BVV,21,ja,Wir haben besonders in Friedrichshain eine Unteraustattung von Familienzentren und Kinder- und Jugendfreizeiteinrichtungen.
Monika Herrmann,Die Grünen / Bündnis 118,BVV,22,ja,
Monika Herrmann,Die Grünen / Bündnis 119,BVV,23,ja,"Was auf den Grundstücken gebaut wird, will ich nicht festelegen - Kitas, Familienzentren etc. sind ebenso wichtig wie Schulen."
Monika Herrmann,Die Grünen / Bündnis 120,BVV,24,ja,Da streiten wir uns gerade mirt dem Innensenator rum.
Monika Herrmann,Die Grünen / Bündnis 121,BVV,25,ja,Das entscheidet allerdings das Gericht.
Monika Herrmann,Die Grünen / Bündnis 122,BVV,26,ja,Da hat der Bezirk leider keine Entscheidungskompetenz.
Monika Herrmann,Die Grünen / Bündnis 123,BVV,27,ja,Dem muss ich nichts hinzufügen.
Monika Herrmann,Die Grünen / Bündnis 124,BVV,28,ja,"In unserem Bezirk eine schwierige Aufgabe, weil wir nicht nur bezahlbaren Wohnraum sondern auch Wohnraum für soziale Zielgruppen in Größenordnungen verlieren."
Monika Herrmann,Die Grünen / Bündnis 125,BVV,29,neutral,
Monika Herrmann,Die Grünen / Bündnis 126,BVV,30,ja,"Es kommt darauf an. Wenn es sich um Baugruppen handelt, die sich eigenständig Wohnraum schaffen, sollten sie auch unterstützt werden. Investoren o.ä. Bauherren sollten eher eingeschränkt Eigentum errichten im Bezirk."
Monika Herrmann,Die Grünen / Bündnis 127,BVV,31,ja,"Gegen Eigentum per se habe ich keine Bedenken s.o. - im Grunde werden so Mietwohnungen frei. Die Steuerung muss bei der Neuvermietung einsetzen, weil dies das Nadelöhr zur Gentrifizierung ist. Es muss verbindlichere Mietbegrenzungen geben. Wir brauchen mehr Wohnraum, die momentane Regierung schafft es nicht diesen zu errichten. Daher sind Eigeninitiativen nicht grundsätzlich abzulehnen. Allerdings wäre es sinnvoll, jene Baugruppen mit Fördermittel zu unterstützen, damit sie pro Haus auch bezahlbare Mietwohnungen errichten können. Dies scheitert nämlich eher nicht am Wollen der Baugruppen, sondern an ihren begrenzten Finanzierungsmöglichkeiten."
Monika Herrmann,Die Grünen / Bündnis 128,BVV,32,ja,
Monika Herrmann,Die Grünen / Bündnis 129,BVV,33,ja,"Auch hier ist zu unterscheiden, wer baut. Jedes Bauvorhaben kann dies nicht leisten. Zwischen ienem Investor und einer Genossenschaft liegen Welten, was den finanziellen Rahmen betrifft - dies ist zu berücksichtigen."
Monika Herrmann,Die Grünen / Bündnis 130,BVV,34,ja,Mehr Steuerung halte ich auch für dringend erforderlich - homogen müsste erläutert werden…
Monika Herrmann,Die Grünen / Bündnis 131,BVV,35,ja,
Monika Herrmann,Die Grünen / Bündnis 132,BVV,36,ja,Daran wird auf den unterschiedlichsten Ebenen intensiv gearbeitet.
Monika Herrmann,Die Grünen / Bündnis 133,BVV,37,ja,Es braucht ein Verkehrskonzept: Fahrradstadt Berlin
Monika Herrmann,Die Grünen / Bündnis 134,BVV,38,ja,"Es braucht erstmal eine Idee. Die Bezirke sind das Fundament der Stadt. Nur ein gutes, solides Fundament hält diese Stadt zusammen. Allerdings wurde das Fundament in den letzten 15 Jahren zerbröselt wie trockene Kekse. Nun braucht es Jahre, bis es wieder gut aufgebaut ist..."
Monika Herrmann,Die Grünen / Bündnis 97,BVV,1,ja,Die Belastung der Kieze ist in der momentane Form zu hoch.
Monika Herrmann,Die Grünen / Bündnis 98,BVV,2,ja,"Da es sich um organsierte Kriminalität handelt, ist die Polizei zur Bekämpfung zuständig."
Monika Herrmann,Die Grünen / Bündnis 99,BVV,3,ja,"Da es sich um organsierte Kriminalität handelt, sind konventionelle Integrationsmaßnahmen was dieses Problem betrifft nicht wirksam - allerdings wäre die Finanzierung einer Aufklärungskampagne hilfreich."
Knut Mildner-Spindler,die Linke,BVV,1,ja,"Wir treten dafür ein, die massive Anhäufung von Gastronomie in bestimmten Gebieten wie z.B. am Boxhagener Platz reduziert wird. Zudem fordern wir für hochbelastete Wohngebiete Lärmschutz- und Verkehrsmessungen ein und wo notwendig konsequente Maßnahmen zum Schutz der Anwohner/innen."
