Nr,Text der Frage,Begründungstext,Initiative/Person
1,Der Partytourismus in Friedrichshain muss reduziert werden.,,
2,"Die Drogenproblematik und Antänzer rund um die Warschauer Straße muss durch mehr Polizeipräsenz, etwa eine mobile Wache, die speziell an diesen Hotspots agiert, gelöst werden.","Die Drogenproblematik und Antänzer rund um die Warschauer Straße mus durch mehr Polizeipräsenz, etwa eine mobile Wache, die speziell an diesen Hotspots agiert, mehr Geld für langfristige Integrationsmaßnahmen sowie Street worker, gelöst werden.",anonym
3,Die Drogenproblematik und Antänzer rund um die Warschauer Straße muss durch mehr Geld für langfristige Integrationsmaßnahmen gelöst werden,"Die Drogenproblematik und Antänzer rund um die Warschauer Straße mus durch mehr Polizeipräsenz, etwa eine mobile Wache, die speziell an diesen Hotspots agiert, mehr Geld für langfristige Integrationsmaßnahmen sowie Street worker, gelöst werden.",anonym
4,"Die Drogenproblematik und Antänzer rund um die Warschauer Straße muss durch Street-worker, gelöst werden.","Die Drogenproblematik und Antänzer rund um die Warschauer Straße mus durch mehr Polizeipräsenz, etwa eine mobile Wache, die speziell an diesen Hotspots agiert, mehr Geld für langfristige Integrationsmaßnahmen sowie Street worker, gelöst werden.",anonym
5,Die Mehrkosten der erweiterten Stadtreinigung soll durch die Berliner City-Tax gezahlt werden.,"Diese Kosten werden derzeit auf die Anwohner umgelegt, von denen alleine Anbieter touristischen Dienstleistungen profitieren. Straßenreinigungsgebühren dürften nicht höher sein, als in anderen Wohnbezirken wie z.B. in Tempelhof. Der Berliner Senat MUSS die Mehrkosten tragen. Das ist ja wohl das Mindeste. Oder?","Nico Zippel,"
6,"Bei Passanten und Gästen muss ein Bewusstsein dafür geschaffen werden, dass die Anwohner in Szenekiezen nicht im Müll leben wollen.","Toll sind die vielen neuen Mülleimer, die aufgestellt worden sind. Aber leider werden diese kaum genutzt. Vielleicht helfen Plakate auf dem Boden über das Thema oder doch Bußgelder? :(",Maria Haupert
7,Ein Touristen-HopOnHopOff- Bus hat in einem Wohnkiez nichts zu suchen.,Natürlich nicht! Weshalb diese Busstrecken zu untersagen sind.,anonym
8,Ferienwohnungen sollen eingeschränkt werden.,"Wenn es überhaupt Ferienwohnungen geben soll, dann nur mit strengen Sicherheitsauflagen und Führung durch Fachleute (i.e. Hoteliers). 24h Anwesenheit eines Verantwortlichen. Wegen der Belastung von privaten Mietern sollen ihre Nettokaltmiete halbiert werden, und den Verlust für den Vermieter durch den Ferienwohnungsbetreiber ausgeglichen werden.",anonym
9,"Das Maß Ist erreicht. Es ist nicht zumutbar, dass mehr Restaurants ihre Sitzflächen auf den Gehwegen ausbreiten.","Es sollte eine neue Ordnung für die Sitzplätze auf Gehwegen geben. Ein paar Bänke und kleine Tischchen stören niemanden, aber große Strandkörbe und riesige Sitzeinheiten belagern oft mehr als die Hälfte der Gehfläche, so dass kaum ein Durchkommen ist.
 Hier geht es nicht darum, wer wie viel beim Ordnungsamt für Fläche auf Gehwegen zahlt, sondern darum, dass der Gehweg kein Restaurant ist.",anonym
10,"Die Mitarbeiterzahl des Allgemeinen Ordnunsdienst (AOD),welcher nicht die Parkraumbewirtschftung überwacht, muss aufgestockt werden.","Derzeit sind im Bezirk 28 Stellen im AOD besetzt, viel zu wenige, um z.B. Gewerbekontrollen durchzuführen. Außerdem sollten diese Stellen auch nach 22:00 Uhr kontrollieren. Wie sonst sollen Ruhezeiten kontrolliert werden.",Anrainer
11,Die Müllsituation muss verbessert werden.,"Es müssen mehr Mülleimer aufgestellt werden und die Reinigungsfrequenzen muss erhöht werden. Die Kosten dürfen dabei nicht die Anwohner durch ihre Nebenkosten zahlen! Wir brauchen ein Grillverbot, Leinenzwang und Kottütenpflicht für Hunde auf öffentlichen Plätzen und bessere Kontrolle (aktuell gibt es die nämlich nicht). Die Förderung ehrenamtlichen Engagements (Säubern der Plätze, Eigene Mülltüten mitnehmen, Schilder, seinen Müll mit nach Hause zu nehmen). Die BSR ist für die Grünflächen nicht verantwortlich und so wird fleißíg drum rum geputzt. Das hat zur Folge, dass Boxi und vor allem, der Wühlischpark komplett vermüllt ist und eigentlich kaum genutzt werden kann. Bitte mehr und größere Mülleimer, die vor allem auch geleert werden sollten.",anonym
12,Die Clubcommission muss ihre Aktivität als Konfliktbefrieder zwischen Nachtökonomie und Anwohner wegen Interessenskonflikten aufgeben.,"Wie kann die Club-Lobbyorganisation, also die Lobbyorganisation einer der größten Profiteure des Partytourismus die Probleme der Anwohner lösen?",anonym
13,Eine bessere Durchmischung der Gewerbelandschaft soll gefördert werden.,"Lokaler Einzelhandel wurde durch Kneipen und Steakrestaurants ersetzt. Das Flair weshalb eigentlich Besucher kamen, ist nahezu verschwunden.",anonym
14,Die Arbeit des Ordnungsamtes (AOD) in Bezug auf die Nutzung öffentlicher Räume muss transparenter werden.,"Damit die Arbeit besser kontrolliert werden kann, sollte die Aktivität des Ordnungsamtes also wieviele Anträge es gibt und wie der Fortschritt ist, offen gelegt werden. Auch die Statistik der Beschwerdeeingänge im Ordnungsamt sollte öffentlich gemacht werden.",Polly & Bob
15,Die Genehmigung nachbarschaftsverbindender Aktivitäten muss erleichtert werden.,"Die Probleme der Anmeldung der Singenden Balkone 2014 hat gezeigt, dass das Ordnungsamt seinen eigenen Willen hat und eigenständig Veranstaltungen blockiert. Hier ist die Politik gefordert dem Ordnungsamt Leitlinien zu setzen.",Polly & Bob
16,Das Ordnungsamt muss sich für die Belange der nicht-kommerziellen Kiezkultur- und Nachbarschaft förndernden Veranstaltungen einsetzen.,"Hier sollte eine Stelle geschaffen werden, die die Bürgerinnen und Bürger informiert und beratend zu Seit steht.",Polly & Bob
17,Der Bau der A100 muss gestoppt werden.,,anonym
18,Das Abstellen auf Parkplätzen von mit Werbung beschriften Anhängern soll verboten werden.,"Immer mehr der noch wenig zur Verfügung stehenden Parkplätze im Kiez werden mit Anhängern zugeparkt, die Werbebotschaften tragen. Es wird immer schwieriger einen Parkplatz zu finden. Der Anwohner fühlt sich immer in seiner Lebensqualität eingeschränkt, weil auch keine Handhabe geben diese billige Idee der Bewerbung besteht.",anonym
19,Der Bezirk ist gefordert mehr Schulplätze in Form zusätzlicher Schulen und Anbauten zu schaffen.,Bis 2020 fehlen allein in Friedrichshain x.000 Schulplätze. Es muss sofort mit dem Neubau von Schulen begonnen werden.,anonym
